iter	Passed	Remaining
407	5167	7497
408	5179	7483
409	5187	7464
410	5198	7450
411	5212	7439
412	5224	7426
413	5234	7409
414	5248	7399
415	5260	7385
416	5271	7369
417	5282	7354
418	5295	7342
419	5307	7329
420	5318	7315
421	5330	7301
422	5344	7290
423	5358	7279
424	5371	7267
425	5380	7250
426	5392	7236
427	5405	7224
428	5414	7206
429	5426	7193
430	5439	7181
431	5447	7162
432	5459	7149
433	5473	7137
434	5487	7127
435	5497	7111
436	5508	7096
437	5521	7085
438	5530	7067
439	5544	7056
440	5556	7042
441	5568	7029
442	5579	7014
443	5590	7000
444	5603	6988
445	5611	6970
446	5622	6956
447	5635	6944
448	5644	6926
449	5655	6912
450	5670	6902
451	5678	6885
452	5691	6872
453	5704	6860
454	5717	6848
455	5733	6839
456	5742	6823
457	5755	6810
458	5768	6798
459	5781	6786
460	5796	6776
461	5805	6760
462	5818	6748
463	5832	6737
464	5841	6720
465	5852	6706
466	5866	6695
467	5878	6682
468	5888	6666
469	5903	6656
470	5915	6644
471	5929	6633
472	5938	6616
473	5951	6604
474	5969	6597
475	5986	6590
476	6001	6579
477	6014	6567
478	6027	6556
479	6036	6539
480	6048	6526
481	6062	6515
482	6075	6503
483	6085	6487
484	6097	6475
485	6112	6464
486	6124	6451
487	6132	6434
488	6147	6423
489	6160	6411
490	6168	6394
491	6182	6383
492	6195	6371
493	6208	6359
494	6220	6345
495	6231	6331
496	6243	6318
497	6256	6307
498	6265	6290
499	6278	6278
500	6292	6267
501	6305	6254
502	6314	6239
503	6326	6226
504	6339	6213
505	6349	6198
506	6360	6184
507	6373	6172
508	6383	6158
509	6394	6143
510	6407	6131
511	6421	6120
512	6430	6104
513	6443	6092
514	6455	6079
515	6467	6066
516	6476	6050
517	6492	6041
518	6505	6029
519	6519	6017
520	6531	6004
521	6540	5988
522	6554	5978
523	6568	5966
524	6577	5951
525	6588	5937
526	6601	5925
527	6613	5912
528	6624	5898
529	6635	5884
530	6648	5872
531	6657	5856
532	6670	5844
533	6683	5832
534	6696	5820
535	6706	5805
536	6719	5793
537	6733	5782
538	6747	5770
539	6756	5755
540	6768	5742
541	6781	5730
542	6794	5718
543	6803	5702
544	6817	5691
545	6832	5680
546	6845	5669
547	6854	5653
548	6866	5640
549	6879	5628
550	6891	5616
551	6901	5601
552	6912	5587
553	6925	5575
554	6934	5560
555	6948	5548
556	6963	5538
557	6977	5527
558	6986	5511
559	6997	5498
560	7010	5486
561	7020	5471
562	7030	5457
563	7043	5445
564	7056	5432
565	7078	5427
566	7094	5417
567	7108	5406
568	7120	5393
569	7130	5379
570	7144	5368
571	7158	5356
572	7172	5345
573	7182	5330
574	7194	5317
575	7207	5305
576	7221	5293
577	7230	5278
578	7243	5266
579	7257	5255
580	7270	5243
581	7279	5228
582	7292	5215
583	7307	5205
584	7320	5192
585	7329	5177
586	7341	5165
587	7354	5153
588	7371	5143
589	7385	5132
590	7393	5116
591	7406	5104
592	7419	5092
593	7429	5077
594	7440	5064
595	7452	5051
596	7465	5039
597	7474	5024
598	7488	5012
599	7500	5000
600	7511	4986
601	7521	4972
602	7535	4960
603	7548	4949
604	7557	4934
605	7571	4922
606	7584	4910
607	7597	4898
608	7607	4884
609	7620	4871
610	7633	4859
611	7648	4848
612	7663	4838
613	7678	4827
614	7694	4816
615	7705	4803
616	7718	4790
617	7732	4779
618	7747	4768
619	7760	4756
620	7768	4741
621	7784	4730
622	7796	4717
623	7808	4705
624	7817	4690
625	7829	4677
626	7842	4665
627	7851	4650
628	7864	4638
629	7878	4627
630	7892	4615
631	7904	4602
632	7913	4588
633	7927	4576
634	7939	4563
635	7950	4550
636	7960	4536
637	7974	4524
638	7983	4510
639	7996	4498
640	8008	4485
641	8021	4473
642	8030	4458
643	8042	4445
644	8054	4433
645	8064	4419
646	8075	4405
647	8090	4394
648	8102	4382
649	8114	4369
650	8125	4356
651	8138	4343
652	8150	4331
653	8159	4316
654	8171	4304
655	8185	4292
